Distriktkod;Distriktnamn; Arbetarepartiet-Socialdemokraterna; Sverigedemokraterna; Moderaterna; Vänsterpartiet; Centerpartiet; Kristdemokraterna; Miljöpartiet de gröna
07-63-0101;Tingsryd 1;32,66%;27,83%;15,94%;4,26%;4,71%;9,65%;1,57%
07-63-0102;Tingsryd 2;31,65%;30,56%;15,86%;2,72%;5,83%;8,40%;1,40%
07-63-0204;Almundsryd;25,12%;40,20%;14,85%;3,81%;4,51%;6,38%;2,18%
07-63-0309;Älmeboda-Linneryd;20,12%;33,79%;15,31%;3,53%;9,11%;10,49%;3,35%
07-63-0511;S Sandsjö;28,57%;38,04%;12,96%;2,49%;6,98%;6,98%;1,16%
07-63-0612;Väckelsång;28,50%;30,63%;15,31%;4,26%;7,10%;9,74%;1,93%
07-63-0716;Urshult;27,61%;28,34%;16,26%;5,27%;7,18%;7,72%;4,18%
Uppvidinge;Dummy;27,57%;31,72%;16,34%;4,14%;6,53%;7,77%;2,17%
07-60-0000;Uppsamlingsdistrikt;27,78%;28,28%;13,64%;7,07%;8,59%;7,83%;1,52%
07-60-0101;Åseda N;24,83%;28,78%;22,91%;4,04%;6,26%;7,41%;2,98%
07-60-0102;Åseda S;23,47%;30,48%;18,75%;3,95%;7,02%;8,80%;1,53%
07-60-0305;Lenhovda;29,75%;31,71%;17,42%;2,83%;6,02%;7,33%;1,38%
07-60-0407;Nottebäck;30,02%;34,66%;10,98%;4,92%;5,87%;8,43%;2,65%
07-60-0511;Älghult;27,97%;34,19%;12,65%;4,18%;7,07%;7,18%;2,68%
Växjö;Dummy;32,53%;17,86%;21,43%;6,03%;6,28%;5,83%;4,55%
07-80-0000;Uppsamlingsdistrikt;30,03%;13,69%;21,94%;10,14%;5,67%;4,31%;7,19%
07-80-0115;Centrum;26,95%;18,57%;27,52%;7,33%;5,62%;3,81%;4,10%
07-80-0116;Bäckaslöv;28,99%;15,02%;26,68%;7,77%;5,78%;4,83%;4,83%
07-80-0117;Söder;33,10%;10,49%;25,46%;3,55%;6,79%;5,40%;7,72%
07-80-0118;Öster;30,18%;16,10%;24,32%;6,65%;6,30%;4,64%;5,07%
07-80-0119;Kvarnhagen;30,15%;15,51%;21,00%;8,29%;5,97%;6,36%;6,45%
07-80-0120;Högstorp - Hollstorp;30,93%;14,45%;27,21%;3,17%;7,97%;5,67%;5,74%
07-80-0121;Väster;28,63%;16,59%;28,40%;5,32%;6,33%;5,40%;4,01%
07-80-0171;Lasarettet;28,47%;13,75%;29,08%;5,36%;5,74%;4,98%;5,97%
07-80-0225;Furuby;25,77%;24,95%;18,97%;5,36%;8,66%;7,42%;3,71%
07-80-0326;Braås;34,89%;24,49%;14,17%;6,48%;6,63%;6,78%;3,17%
07-80-0630;Dädesjö;24,69%;23,72%;17,60%;6,11%;9,05%;7,33%;4,89%
07-80-0731;Åryd;27,56%;24,69%;19,43%;5,93%;7,08%;6,89%;3,35%
07-80-0833;Ingelstad;33,52%;23,90%;16,73%;5,35%;5,53%;7,86%;2,58%
07-80-0934;Värends Nöbbele;26,51%;28,02%;12,93%;4,09%;9,70%;9,91%;4,74%
07-80-1338;Tävelsås - Uråsa;26,42%;24,31%;16,18%;5,30%;9,87%;8,78%;3,75%
07-80-1439;Vederslöv;25,26%;29,36%;16,96%;3,26%;7,74%;8,29%;4,47%
07-80-1641;Gemla;30,47%;22,63%;18,25%;3,47%;8,42%;6,03%;7,35%
07-80-1742;Bergunda;27,59%;21,15%;25,63%;4,25%;6,78%;7,36%;2,76%
07-80-1853;Öjaby norra;24,86%;25,51%;26,16%;1,08%;8,22%;5,95%;3,89%
07-80-1854;Öjaby södra - Räppe;27,22%;19,08%;28,40%;3,48%;5,99%;7,10%;3,18%
07-80-1944;Åby;25,16%;22,41%;19,77%;2,85%;10,36%;8,88%;4,12%
07-80-2045;Sandsbro östra;30,34%;18,88%;24,11%;3,36%;7,04%;7,23%;4,11%
07-80-2062;Sandsbro västra;33,67%;17,16%;24,33%;3,04%;7,24%;6,15%;2,90%
07-80-2154;Rottne södra;27,02%;29,64%;18,67%;5,35%;6,66%;6,10%;3,10%
07-80-2155;Rottne norra;30,44%;30,04%;18,83%;3,87%;3,60%;7,88%;1,87%
07-80-2449;Lammhult;24,40%;32,32%;17,02%;3,19%;6,14%;9,56%;3,11%
07-80-2551;Berg;21,01%;21,57%;20,17%;5,46%;10,64%;7,28%;8,96%
07-80-2855;Kungsmad;26,12%;17,33%;25,21%;5,89%;6,14%;5,97%;5,14%
07-80-2865;Ringsberg;35,34%;16,43%;18,37%;8,22%;4,24%;5,83%;5,65%
07-80-2866;Norrelid;35,14%;13,06%;23,31%;8,90%;4,95%;3,83%;5,41%
07-80-2868;Fagrabäck;34,69%;15,41%;21,46%;6,33%;5,48%;5,29%;5,67%
07-80-2869;Norr;33,53%;12,85%;23,59%;4,82%;6,02%;5,62%;7,53%
07-80-2870;Teknikum;44,14%;17,16%;11,83%;11,01%;4,02%;2,96%;5,09%
07-80-2960;Östra Lugnet;31,07%;15,01%;29,22%;3,23%;6,30%;6,86%;4,76%
07-80-2974;Pilbäcken;44,40%;16,22%;12,27%;10,67%;3,52%;3,95%;3,95%
07-80-2975;Hov;38,57%;15,57%;21,11%;4,51%;5,97%;5,17%;4,66%
07-80-2976;Dalbo centrum;49,50%;9,84%;7,13%;13,84%;4,71%;3,14%;3,42%
07-80-2977;Araby;50,71%;12,55%;5,56%;15,27%;3,62%;2,46%;1,68%
07-80-2978;Nydala;48,00%;10,53%;6,67%;14,80%;3,47%;1,60%;3,87%
07-80-2979;Gamla Hovshaga;34,11%;13,68%;25,28%;4,07%;6,49%;7,10%;2,94%
07-80-2980;Arenastaden;36,85%;19,37%;22,68%;5,20%;4,72%;4,57%;2,52%
07-80-2981;Nya Hovshaga;38,76%;16,91%;19,66%;5,57%;4,37%;4,86%;4,23%
07-80-2982;Ulriksberg;28,55%;11,45%;30,89%;3,95%;7,02%;7,10%;4,92%
07-80-2988;Hovshaga Centrum;38,13%;18,21%;19,49%;5,53%;4,60%;6,30%;3,06%
07-80-2989;Kronoberg;27,82%;11,49%;31,84%;4,17%;7,03%;6,52%;5,56%
07-80-2990;Liedbergsgatan;40,31%;17,53%;14,02%;9,18%;4,43%;4,43%;3,30%
07-80-3082;Kampen-Sigfrid;32,05%;15,28%;20,81%;8,34%;6,94%;4,97%;5,06%
07-80-3083;Ljungfälle/Teleborg östra;38,70%;19,74%;14,44%;9,53%;4,13%;4,62%;3,83%
07-80-3085;Torparängen;42,38%;16,54%;14,27%;6,53%;4,70%;4,44%;6,35%
07-80-3086;Furutå;35,81%;13,77%;21,35%;5,18%;6,65%;6,73%;4,87%
07-80-3087;Universitetet södra;26,17%;11,24%;27,31%;10,38%;7,82%;3,41%;5,12%
07-80-3088;Teleborg södra;36,10%;17,13%;24,30%;4,14%;5,34%;5,50%;3,19%
07-80-3089;Teleborg centrum;43,69%;21,45%;10,53%;10,72%;3,48%;2,88%;4,17%
07-80-3090;Stallvägen;27,43%;9,56%;27,71%;10,27%;9,99%;3,52%;5,77%
07-80-3091;Vikaholm;34,25%;13,88%;24,80%;6,00%;7,19%;5,02%;4,04%
07-80-3092;Universitetet norra;29,76%;10,63%;28,89%;5,89%;6,86%;5,89%;5,12%
Älmhult;Dummy;31,86%;24,49%;19,38%;3,90%;6,58%;6,94%;2,94%
07-65-0000;Uppsamlingsdistrikt;29,59%;17,20%;19,95%;6,42%;8,26%;5,96%;4,59%
07-65-0101;Gemön-Möckeln;37,43%;21,08%;19,85%;4,06%;4,82%;7,09%;1,98%
07-65-0103;Klöxhult;35,06%;17,03%;25,38%;1,84%;5,34%;7,60%;3,34%
07-65-0115;Norregård;32,03%;18,57%;25,63%;2,60%;7,43%;5,57%;3,81%
07-65-0116;Froafälle;36,02%;25,11%;18,86%;3,07%;4,89%;4,66%;3,07%
07-65-0117;Haganäs;43,27%;20,07%;12,02%;7,21%;4,93%;4,33%;2,76%
07-65-0118;Centrum;37,10%;21,94%;18,48%;4,52%;4,92%;6,12%;3,59%
07-65-0204;Häradsbäck-Bråthult;18,48%;30,31%;19,98%;4,48%;8,04%;11,71%;2,41%
07-65-0305;Virestad-Eneryda;31,54%;30,53%;13,78%;3,33%;10,18%;6,85%;1,48%
07-65-0408;Diö-Stenbrohult;28,03%;28,31%;18,49%;5,05%;6,01%;6,77%;4,77%
07-65-0511;Göteryd;22,01%;35,93%;18,46%;2,96%;7,80%;8,79%;1,48%
Malmö kommun;Dummy;29,57%;16,37%;17,87%;12,49%;5,49%;3,00%;7,49%
Malmö;Dummy;29,57%;16,37%;17,87%;12,49%;5,49%;3,00%;7,49%
12-80-0100;Uppsamlingsdistrikt;30,57%;12,74%;15,74%;15,04%;6,04%;2,46%;7,50%
12-80-0101;Gamla staden V;26,89%;10,65%;18,54%;12,87%;6,39%;3,19%;14,02%
12-80-0102;Gamla staden-Stortorget;20,70%;14,22%;27,00%;9,20%;9,11%;2,56%;7,92%
12-80-0103;Gamla staden-Caroli;25,00%;13,22%;19,82%;15,75%;6,61%;4,74%;5,95%
12-80-0104;Gamla staden-Ö Tullgatan;25,93%;13,60%;20,35%;10,08%;8,61%;2,45%;10,76%
12-80-0105;Gamla staden-Österport;33,25%;13,87%;16,69%;12,76%;7,73%;3,68%;6,87%
12-80-0106;Davidshall;26,83%;12,31%;22,24%;8,38%;8,15%;4,23%;9,86%
12-80-0107;Davidshall-Lugnet;24,75%;13,33%;18,87%;13,16%;6,87%;2,98%;11,75%
12-80-0108;Västra hamnen;23,44%;13,66%;25,38%;5,17%;8,65%;2,99%;11,08%
12-80-0109;Västra hamnen-Flaggskeppet;24,06%;13,61%;28,60%;5,03%;7,89%;4,14%;8,19%
12-80-0110;Västra hamnen-Dockplatsen;21,20%;15,09%;34,23%;2,61%;8,45%;4,31%;3,50%
12-80-0111;Slussen-Ö Förstadsg;26,59%;14,60%;17,29%;15,09%;6,77%;2,37%;10,20%
12-80-0112;Slussen;30,18%;15,76%;13,33%;15,88%;6,79%;2,55%;9,09%
12-80-0113;Östervärn-Fredsgatan;31,72%;16,53%;10,86%;19,30%;3,14%;1,93%;9,29%
12-80-0114;Östervärn-Nobelv;25,20%;12,30%;11,82%;22,75%;6,93%;2,15%;12,99%
12-80-0115;Ellstorp;26,69%;16,42%;20,63%;11,85%;5,09%;3,51%;8,17%
12-80-0116;N Sorgenfri;31,36%;21,51%;11,17%;14,78%;3,28%;1,31%;5,91%
12-80-0117;Värnhem;24,68%;14,89%;15,32%;20,21%;3,83%;2,98%;8,72%
12-80-0118;Rörsjöstaden-Rörsjöparken;26,80%;10,55%;8,61%;24,00%;4,63%;1,94%;16,68%
12-80-0119;Rörsjöstaden-Kungsgatan;26,04%;7,94%;12,94%;21,54%;6,72%;2,29%;15,89%
12-80-0120;V Sorgenfri-Betania;25,39%;6,38%;13,42%;20,81%;7,61%;1,57%;18,01%
12-80-0121;V Sorgenfri-Rörsjö;28,06%;9,54%;9,65%;28,17%;4,26%;1,46%;13,47%
12-80-0122;Lugnet-Rörsjö;27,66%;13,16%;16,09%;14,10%;7,31%;2,13%;11,17%
12-80-0123;Lugnet;29,86%;18,02%;17,26%;14,22%;6,19%;3,58%;4,99%
12-80-0124;Rådmansvången-Triangeln;27,14%;9,96%;16,10%;14,19%;8,13%;4,23%;11,70%
12-80-0125;Rådmansvången-Stadshuset;29,19%;8,83%;10,96%;22,50%;5,63%;1,84%;15,03%
12-80-0126;Rådmansvången-S Förstadsgatan;23,35%;9,71%;10,81%;29,58%;5,31%;1,37%;13,83%
12-80-0127;Rådmansvången-Tandläkarhögskolan;28,74%;9,30%;12,87%;19,85%;6,89%;2,57%;12,46%
12-80-0128;Västra hamnen-Fullriggaren;25,62%;12,81%;21,66%;9,86%;6,64%;3,69%;11,52%
12-80-0129;Gamla staden-S Promenaden;25,96%;16,65%;19,06%;9,64%;8,43%;4,05%;7,89%
12-80-0130;Rörsjöstaden-Föreningsgatan;25,33%;7,19%;15,20%;13,37%;11,75%;2,33%;16,31%
12-80-0131;Västra hamnen-Kockum fritid;21,85%;12,82%;23,53%;10,50%;9,45%;5,88%;7,14%
12-80-0132;Katrinelund-Värnhem;27,40%;6,46%;12,55%;26,38%;5,72%;2,12%;12,08%
12-80-0133;Västra hamnen-Isbergs gata;22,11%;13,37%;28,55%;5,59%;9,36%;4,86%;5,71%
12-80-0134;Västra hamnen-Bassängkajen;21,29%;13,55%;32,42%;3,23%;10,81%;3,55%;6,29%
12-80-0135;Västra hamnen-Bomgatan;26,84%;12,03%;27,53%;5,96%;7,75%;3,88%;6,86%
12-80-0136;Västra hamnen-Varvsparken;26,56%;10,17%;29,61%;5,84%;7,12%;4,32%;7,37%
12-80-0137;Värnhem-Rörsjö;28,14%;8,36%;11,41%;25,65%;6,21%;2,82%;12,20%
12-80-0200;Uppsamlingsdistrikt;26,23%;13,05%;17,77%;16,67%;6,59%;2,89%;8,38%
12-80-0201;Möllevången-Bergsgatan;27,77%;8,89%;9,26%;26,80%;5,36%;1,83%;12,30%
12-80-0202;V Sorgenfri-Mariagatan;25,71%;4,12%;7,52%;28,46%;5,09%;0,65%;24,41%
12-80-0203;V Sorgenfri-Nobelv;20,14%;8,91%;7,65%;36,59%;4,36%;1,45%;15,39%
12-80-0204;Möllevångstorget N;26,86%;7,18%;8,42%;36,14%;3,59%;0,62%;12,50%
12-80-0205;Möllevången-Folkets park;19,80%;6,82%;4,29%;43,89%;2,86%;1,21%;16,50%
12-80-0206;Möllevången-Karlskronaplan;25,09%;6,47%;5,76%;39,27%;3,28%;1,06%;13,92%
12-80-0207;Möllevången-Bangatan;34,38%;10,36%;5,86%;29,13%;3,45%;1,95%;8,71%
12-80-0208;Möllevången-Södervärnsplan;29,43%;13,51%;7,24%;31,72%;3,62%;2,29%;8,93%
12-80-0209;Södervärn;24,94%;11,50%;7,14%;36,20%;3,75%;2,18%;9,20%
12-80-0210;Flensburg-Allm sjukhuset;25,40%;13,50%;10,89%;24,53%;6,97%;2,03%;11,76%
12-80-0211;S Sofielund-Seved;25,78%;11,11%;7,83%;31,77%;3,85%;1,57%;10,97%
12-80-0212;N Sofielund-Sofielundsskolan;25,35%;8,36%;5,16%;34,84%;3,85%;1,50%;14,84%
12-80-0213;S Sofielund-Bryggeriet;33,54%;11,85%;3,69%;32,31%;3,38%;0,62%;8,31%
12-80-0214;N Sofielund-Nobelv;21,97%;5,70%;4,37%;42,93%;3,15%;1,32%;16,17%
12-80-0215;N Sofielund-Nobeltorget;21,90%;8,58%;8,18%;38,79%;4,22%;0,66%;13,98%
12-80-0216;Ö Sorgenfri-Kiviksgatan;23,50%;11,87%;7,42%;32,81%;2,47%;1,48%;15,91%
12-80-0217;Ö Sorgenfri-Nobelv;28,07%;10,03%;6,31%;31,23%;3,72%;1,13%;12,06%
12-80-0218;Ö Sorgenfri-Sorgenfrivägen;32,89%;9,87%;6,09%;31,79%;2,31%;0,61%;8,53%
12-80-0219;Ö Sorgenfri-Brantevik;29,51%;15,89%;9,46%;24,46%;4,54%;2,40%;9,33%
12-80-0220;Annelund;30,92%;7,73%;9,66%;30,80%;3,62%;1,09%;11,23%
12-80-0221;Lönngården;23,38%;18,51%;9,19%;26,62%;4,73%;2,30%;11,08%
12-80-0222;Möllevångstorget S;19,76%;6,94%;3,76%;44,59%;2,94%;0,47%;16,94%
12-80-0301;Hästhagen;26,67%;11,71%;18,86%;11,87%;7,72%;4,39%;10,33%
12-80-0302;Fågelbacken N;26,91%;12,23%;19,96%;9,00%;8,51%;2,64%;10,96%
12-80-0303;Kronprinsen;27,33%;22,93%;22,93%;9,33%;3,50%;4,40%;3,76%
12-80-0304;Fågelbacken S;26,18%;17,96%;17,42%;12,16%;6,13%;3,40%;9,86%
12-80-0305;Kronborg-Teatern;29,40%;13,21%;18,69%;10,95%;6,55%;3,21%;10,48%
12-80-0306;Rönneholm SO;26,94%;17,44%;20,20%;11,81%;6,18%;3,60%;8,12%
12-80-0307;Rönneholm-Mariedalsv;26,50%;12,18%;21,32%;8,02%;6,19%;3,65%;12,28%
12-80-0308;Rönneholm NV;28,52%;13,43%;18,52%;11,76%;6,11%;3,70%;11,39%
12-80-0309;Rönneholm NO;25,56%;13,59%;19,32%;11,97%;7,69%;3,33%;11,28%
12-80-0310;Rönneholmsparken;25,05%;15,55%;24,77%;7,32%;7,41%;4,61%;8,50%
12-80-0311;Ribersborg SO;25,59%;14,98%;22,02%;8,97%;7,24%;3,26%;10,09%
12-80-0312;Ribersborg NO;24,22%;15,79%;18,90%;10,66%;6,78%;3,59%;11,43%
12-80-0313;Ribersborgsskolan;25,93%;13,53%;21,77%;8,93%;7,98%;2,69%;10,84%
12-80-0314;Ribersborg-Limhamnsvägen;22,08%;16,73%;24,95%;7,65%;6,50%;3,44%;10,52%
12-80-0315;Ribersborg-Nicoloviusg;25,54%;16,54%;25,62%;5,46%;6,92%;4,23%;7,62%
12-80-0316;Ribersborg-Regementsg;25,84%;14,09%;26,36%;6,22%;5,88%;4,15%;9,85%
12-80-0317;Fridhem;18,26%;20,20%;30,12%;3,34%;6,12%;7,32%;4,82%
12-80-0318;Västervång-Fridhem;16,54%;10,62%;32,64%;2,85%;11,94%;4,05%;11,50%
12-80-0319;Mellanheden;29,02%;19,05%;17,25%;11,77%;3,68%;3,50%;8,27%
12-80-0320;Dammfri-Köpenhamnsvägen;27,19%;18,34%;19,82%;8,76%;4,79%;2,67%;11,24%
12-80-0321;Dammfri-Korsörvägen;29,61%;15,66%;15,41%;11,53%;6,19%;2,31%;11,29%
12-80-0322;Solbacken;26,33%;15,19%;21,01%;6,33%;9,37%;2,78%;11,01%
12-80-0323;Dammfri-John Ericssons väg;28,94%;16,36%;15,75%;13,31%;5,98%;3,54%;8,79%
12-80-0324;Kronborg;30,75%;15,72%;14,68%;12,95%;6,24%;3,47%;9,94%
12-80-0401;Bellevue-Nya Bellevue;11,72%;13,16%;42,43%;1,30%;9,39%;4,04%;5,76%
12-80-0402;Rosenvång;18,55%;10,77%;33,21%;2,90%;12,31%;3,26%;7,51%
12-80-0403;Gamla Limhamn-Västanväg;24,60%;20,09%;25,75%;3,81%;6,81%;3,81%;4,87%
12-80-0404;Limhamn Ön;22,68%;21,11%;29,13%;2,93%;7,43%;5,96%;4,01%
12-80-0405;Gamla Limhamn-Tegnérgatan;22,36%;22,11%;26,93%;4,07%;6,82%;3,16%;6,32%
12-80-0406;Gamla Limhamn-Linnéskolan;24,92%;23,56%;23,79%;5,15%;5,83%;2,88%;5,76%
12-80-0407;Sibbarp N;25,35%;31,34%;19,76%;4,49%;5,39%;3,59%;3,39%
12-80-0408;Annetorp N;22,98%;20,10%;24,71%;3,85%;7,88%;4,04%;7,21%
12-80-0409;Djupadal N;21,18%;11,22%;23,71%;3,21%;11,81%;3,54%;13,25%
12-80-0410;Annetorp S;32,02%;24,25%;21,74%;3,70%;4,18%;4,78%;3,82%
12-80-0411;Sibbarp S;17,51%;14,69%;34,63%;1,26%;10,12%;5,45%;5,54%
12-80-0412;Sibbarp-Hammars Park;24,42%;24,95%;27,39%;2,65%;5,73%;4,88%;4,35%
12-80-0413;Djupadal-Ö Rosenvång;22,26%;11,28%;27,79%;3,12%;9,77%;4,83%;10,67%
12-80-0414;Djupadal-Broddaparken;25,68%;14,82%;25,11%;3,73%;10,86%;4,07%;6,67%
12-80-0415;Hyllieby;21,24%;19,09%;31,15%;2,74%;7,04%;4,53%;4,77%
12-80-0416;Bunkeflostrand N;22,21%;20,77%;34,42%;0,87%;6,83%;5,38%;2,88%
12-80-0417;Bunkeflostrand-Fjärilsg;22,19%;24,81%;30,71%;1,75%;5,68%;4,81%;3,06%
12-80-0418;Bunkeflostrand-Ängslätt;25,80%;17,73%;32,27%;1,45%;7,46%;4,49%;2,66%
12-80-0419;Bunkeflostrand-Strandhem;18,39%;20,90%;34,65%;4,18%;7,45%;4,64%;3,72%
12-80-0420;Annestad N;25,45%;23,92%;23,92%;9,23%;4,62%;2,52%;4,20%
12-80-0421;Bunkeflo-Vintrie;18,98%;18,81%;29,04%;2,97%;7,76%;6,11%;7,43%
12-80-0422;Klagshamn-V Klagstorp;23,22%;17,50%;28,80%;3,56%;8,44%;4,32%;6,28%
12-80-0423;Tygelsjöby;24,55%;27,11%;26,10%;2,32%;5,03%;5,03%;3,87%
12-80-0424;Klagshamn-Tygelsjöby;23,77%;18,68%;28,21%;2,91%;7,62%;5,03%;6,23%
12-80-0425;Limhamn-Dragörkajen;23,65%;20,75%;28,93%;2,77%;7,30%;4,15%;3,02%
12-80-0426;Kalkbrottet;22,33%;25,49%;29,74%;3,95%;3,46%;3,66%;3,66%
12-80-0427;Annestad S;26,96%;23,20%;26,85%;6,02%;4,94%;2,36%;2,90%
12-80-0428;Elinelund;23,15%;20,41%;21,89%;8,67%;6,96%;4,45%;4,68%
12-80-0429;Limhamn-Cementparken;27,05%;15,96%;25,53%;9,12%;5,17%;3,65%;5,78%
12-80-0430;Limhamn-Fendertorget;34,13%;16,13%;20,88%;10,02%;5,09%;2,72%;4,41%
12-80-0431;Limhamn-Fernissagatan;22,65%;20,86%;26,10%;5,52%;6,08%;3,73%;6,08%
12-80-0432;Limhamn-Formgatan;25,69%;19,27%;26,74%;7,12%;5,90%;4,69%;6,08%
12-80-0433;Limhamn-Rosengrens gata;21,82%;14,94%;32,10%;2,72%;9,51%;5,53%;5,72%
12-80-0501;Lorensborg N;34,04%;19,83%;11,95%;12,80%;3,38%;4,50%;7,17%
12-80-0502;Lorensborg V;37,60%;14,98%;8,11%;18,88%;3,12%;2,50%;4,21%
12-80-0503;Lorensborg SO;34,66%;21,61%;11,45%;10,96%;4,48%;3,39%;5,38%
12-80-0504;Bellevuegården V;34,76%;27,62%;13,43%;9,52%;2,67%;2,48%;2,86%
12-80-0505;Bellevuegården Ö;43,13%;15,39%;8,52%;15,01%;3,31%;1,27%;3,44%
12-80-0506;Kroksbäck N;40,24%;18,29%;14,91%;9,08%;4,61%;2,57%;4,88%
12-80-0507;Kroksbäck V;22,21%;13,73%;25,21%;3,43%;9,76%;5,47%;10,73%
12-80-0508;Kroksbäck S;42,46%;7,60%;7,13%;18,83%;2,57%;1,99%;3,27%
12-80-0509;Borgmästaregården S;36,14%;19,70%;17,16%;7,21%;3,86%;4,87%;4,26%
12-80-0510;Borgmästaregården N;37,37%;21,35%;17,91%;4,51%;4,98%;4,98%;2,37%
12-80-0511;Södertorp;41,73%;24,65%;15,14%;5,62%;3,14%;3,46%;2,70%
12-80-0512;Gröndal;42,87%;22,59%;12,12%;8,99%;3,05%;2,64%;2,80%
12-80-0513;Kulladal N;32,45%;22,10%;17,55%;7,58%;4,67%;4,17%;5,30%
12-80-0514;Kulladal-Per Albin Hanssons väg;33,92%;19,78%;21,86%;6,73%;5,82%;3,16%;5,07%
12-80-0515;Kulladal-Kulladalsgatan;36,73%;21,55%;18,31%;8,46%;3,13%;3,48%;2,90%
12-80-0516;Holma N;41,24%;19,10%;8,56%;14,49%;2,37%;1,58%;2,77%
12-80-0517;Holma S;47,65%;12,07%;6,90%;14,26%;2,51%;1,25%;2,66%
12-80-0518;Lindeborg-Axel Danielssons väg;38,68%;24,21%;15,75%;7,19%;3,74%;3,05%;2,76%
12-80-0519;Lindeborg Centrum;39,23%;26,69%;11,32%;7,28%;4,04%;4,15%;2,12%
12-80-0520;Lindeborg-Stolpalösaparken;35,59%;24,88%;15,52%;8,25%;3,45%;4,06%;2,71%
12-80-0521;Hyllievång-Tennisgränd;26,61%;19,82%;20,73%;8,26%;6,97%;2,39%;5,14%
12-80-0522;Hyllievång-Allétorget;19,27%;18,06%;32,64%;4,17%;6,42%;4,86%;5,38%
12-80-0523;Hyllievång-Dagvattenparken;26,86%;13,56%;20,48%;17,02%;6,38%;2,13%;6,12%
12-80-0524;Hyllievång-Sagas gränd;27,23%;16,81%;20,67%;15,13%;6,72%;4,03%;3,03%
12-80-0525;Hyllievång-Skrivaregatan;29,53%;18,13%;24,86%;7,30%;5,59%;3,31%;4,90%
12-80-0601;Heleneholm;39,45%;13,38%;9,09%;18,87%;1,89%;2,23%;5,15%
12-80-0602;Eriksfält;30,72%;16,25%;18,46%;12,41%;5,61%;3,69%;7,24%
12-80-0603;Almhög V;41,49%;19,31%;13,16%;13,02%;2,72%;1,00%;2,58%
12-80-0604;Almhög Ö;35,53%;17,67%;9,59%;19,92%;3,01%;1,50%;3,20%
12-80-0605;Augustenborg N;38,02%;10,04%;6,03%;25,97%;2,44%;1,00%;8,32%
12-80-0606;Augustenborg S;42,00%;13,69%;5,08%;20,77%;2,15%;1,38%;5,23%
12-80-0607;Hindby;34,01%;18,51%;16,65%;12,05%;3,45%;1,77%;5,85%
12-80-0608;Nydala NV;47,52%;14,56%;9,12%;12,96%;2,88%;1,28%;3,52%
12-80-0609;Nydala NO;49,61%;14,53%;6,80%;15,46%;2,63%;0,77%;4,64%
12-80-0610;Nydala SO;43,85%;19,95%;9,02%;12,16%;2,19%;1,64%;2,73%
12-80-0611;Gullviksborg;39,66%;13,26%;10,27%;16,91%;2,21%;1,69%;3,38%
12-80-0612;Gullvik;37,19%;16,95%;19,14%;11,47%;3,59%;2,89%;2,99%
12-80-0613;Ö Söderkulla;43,59%;21,59%;14,35%;6,96%;2,65%;2,79%;2,37%
12-80-0614;Hermodsdal;43,94%;16,82%;5,24%;15,73%;1,99%;1,08%;2,89%
12-80-0615;Hermodsdal-Gullviksborg;41,15%;21,53%;7,64%;14,06%;1,91%;1,22%;2,26%
12-80-0616;V Söderkulla-Söderkullagatan;47,21%;19,04%;15,23%;7,87%;1,52%;1,90%;1,78%
12-80-0617;V Söderkulla Centrum;44,27%;16,54%;14,76%;9,54%;2,29%;3,18%;1,65%
12-80-0618;V Söderkulla-Fosietorp;46,36%;21,43%;10,38%;7,28%;2,43%;2,29%;2,83%
12-80-0619;Lindängen N;42,44%;23,79%;11,41%;9,32%;3,22%;0,96%;2,73%
12-80-0620;Lindängen Centrum;41,66%;21,23%;10,68%;12,68%;2,80%;1,20%;2,40%
12-80-0621;Almvik;40,09%;23,63%;12,35%;11,28%;1,52%;2,90%;1,68%
12-80-0622;Lindängen Ö;39,75%;19,25%;7,84%;13,19%;2,50%;1,07%;1,60%
12-80-0623;Lindängen-Almvik;45,44%;20,28%;13,36%;7,70%;2,04%;2,52%;1,26%
12-80-0624;Lindängen-Kastanjegården;37,09%;15,85%;17,77%;11,16%;4,80%;1,68%;2,64%
12-80-0625;Lindängen-Vårsången;39,94%;16,46%;8,84%;11,59%;0,91%;2,74%;1,52%
12-80-0701;Oxie Kyrkby N;35,50%;24,48%;17,70%;5,27%;4,05%;2,73%;3,95%
12-80-0702;Oxie Kyrkby Ö;34,97%;22,44%;19,72%;6,43%;4,14%;5,12%;2,51%
12-80-0703;Oxie Kyrkby-Toarp;29,35%;32,34%;12,86%;8,44%;3,38%;2,86%;5,45%
12-80-0704;Kristineberg;34,00%;23,28%;17,87%;7,23%;4,32%;3,33%;3,41%
12-80-0705;Käglinge;31,42%;24,65%;21,32%;4,82%;5,47%;3,52%;2,59%
12-80-0706;Oxievång Ö;31,41%;31,41%;16,27%;7,63%;3,50%;2,13%;2,75%
12-80-0707;Oxievång V;33,98%;26,00%;12,73%;10,90%;4,31%;2,80%;2,91%
12-80-0708;Käglinge-Lockarp;29,79%;29,62%;20,91%;2,44%;6,62%;2,96%;2,96%
12-80-0801;Törnrosen;42,17%;3,10%;5,12%;14,88%;3,26%;0,47%;8,84%
12-80-0802;Örtagården V;42,68%;6,05%;3,82%;16,08%;1,11%;0,80%;6,53%
12-80-0803;Persborg;46,54%;15,21%;7,38%;13,86%;2,26%;0,75%;4,07%
